"","lon","lat"
"1",-119.7725868,36.7468422
"2",-76.6121893,39.2903848
"3",-112.2373779,33.5805955
"4",-118.4003563,34.0736204
"5",-112.2718239,33.5975393
"6",-117.6627655,33.5019027
"7",-112.0740373,33.4483771
"8",-72.9278835,41.308274
"9",-74.0059728,40.7127753
"10",-118.1937395,33.7700504
"11",-115.1398296,36.1699412
"12",-76.6121893,39.2903848
"13",-117.8531007,33.7879139
"14",-112.0740373,33.4483771
"15",-80.1917902,25.7616798
"16",-118.255075,34.1425078
"17",-82.4571776,27.950575
"18",-118.255075,34.1425078
"19",-118.255075,34.1425078
"20",-112.2718239,33.5975393
"21",-89.4012302,43.0730517
"22",-77.0368707,38.9071923
"23",-112.0740373,33.4483771
"24",-86.80249,33.5206608
"25",-81.3444573,35.7344538
"26",-112.0740373,33.4483771
"27",-94.6274636,39.114053
"28",-118.255075,34.1425078
"29",-97.330053,37.6871761
"30",-117.1610838,32.715738
"31",-112.0740373,33.4483771
"32",-112.0740373,33.4483771
"33",-112.0740373,33.4483771
"34",-112.3579364,33.4933743
"35",-86.80249,33.5206608
"36",-117.1610838,32.715738
"37",-86.80249,33.5206608
"38",-86.80249,33.5206608
"39",-86.80249,33.5206608
"40",-122.4194155,37.7749295
"41",-74.0059728,40.7127753
"42",-122.4404684,37.6380589
"43",-77.0368707,38.9071923
"44",-112.0740373,33.4483771
"45",-122.6764815,45.5230622
"46",-91.1403196,30.4582829
"47",-112.2718239,33.5975393
"48",-112.3579364,33.4933743
"49",-89.4012302,43.0730517
"50",-71.4128343,41.8239891
"51",-87.6297982,41.8781136
"52",-73.7629097,41.0339862
"53",-92.2895948,34.7464809
"54",-73.212072,44.4758825
"55",-80.1289321,26.3683064
"56",-112.0740373,33.4483771
"57",-112.2373779,33.5805955
"58",-71.0588801,42.3600825
"59",-110.926479,32.2217429
"60",-112.0740373,33.4483771
"61",-112.0740373,33.4483771
"62",-112.0740373,33.4483771
"63",-83.555212,41.6639383
"64",-81.5087322,41.4644979
"65",-71.2760089,42.4906231
"66",-86.80249,33.5206608
"67",-84.3879824,33.7489954
"68",-93.2650108,44.977753
"69",-71.0588801,42.3600825
"70",-122.3320708,47.6062095
"71",-87.5691735,33.2098407
"72",-112.0740373,33.4483771
"73",-74.0059728,40.7127753
"74",-73.8648268,40.8447819
"75",-112.0740373,33.4483771
"76",-104.8319195,39.7294319
"77",-112.0740373,33.4483771
"78",-117.9188221,33.6412156
"79",-81.6943605,41.49932
"80",-86.158068,39.768403
"81",-84.5037164,38.0405837
"82",-77.0947092,38.984652
"83",-112.0740373,33.4483771
"84",-88.0398912,30.6953657
"85",-110.926479,32.2217429
"86",-122.4194155,37.7749295
"87",-87.6297982,41.8781136
"88",-93.2650108,44.977753
"89",-71.166187,42.3303798
"90",-71.8022934,42.2625932
"91",-87.5772293,33.229007
"92",-89.4012302,43.0730517
"93",-77.0947092,38.984652
"94",-80.1008762,26.5909025
"95",-117.2712717,32.8328112
"96",-112.0740373,33.4483771
"97",-112.3579364,33.4933743
"98",-77.0947092,38.984652
"99",-112.0740373,33.4483771
"100",-117.9188221,33.6412156
"101",-112.0740373,33.4483771
"102",-112.0740373,33.4483771
"103",-122.518458,47.1717649
"104",-86.80249,33.5206608
"105",-112.0740373,33.4483771
"106",-86.158068,39.768403
"107",-94.6274636,39.114053
"108",-122.6764815,45.5230622
"109",-74.0059728,40.7127753
"110",-82.7751622,27.8092229
"111",-94.6319018,39.0222277
"112",-112.2718239,33.5975393
"113",-112.3579364,33.4933743
"114",-74.0059728,40.7127753
"115",-112.0740373,33.4483771
"116",-73.6995749,40.7978787
"117",-74.3647247,40.8200623
"118",-94.6274636,39.114053
"119",-112.0740373,33.4483771
"120",-122.4194155,37.7749295
"121",-78.898619,35.9940329
"122",-80.1392121,25.9564812
"123",-74.0059728,40.7127753
"124",-86.80249,33.5206608
"125",-118.1597911,33.8894598
"126",-82.3248262,29.6516344
"127",-112.0740373,33.4483771
"128",-84.3879824,33.7489954
"129",-79.9558968,39.629526
"130",-117.2712717,32.8328112
"131",-112.0740373,33.4483771
"132",-94.6274636,39.114053
"133",-90.1994042,38.6270025
"134",-71.0588801,42.3600825
"135",-112.0740373,33.4483771
"136",-112.2718239,33.5975393
"137",-110.926479,32.2217429
"138",-86.80249,33.5206608
"139",-117.8265049,33.6845673
"140",-122.3320708,47.6062095
"141",-73.7629097,41.0339862
"142",-117.1610838,32.715738
"143",-117.8531007,33.7879139
"144",-87.9064736,43.0389025
"145",-112.0740373,33.4483771
"146",-82.4571776,27.950575
"147",-71.0588801,42.3600825
"148",-87.5772293,33.229007
"149",-122.4194155,37.7749295
"150",-80.0533746,26.7153424
"151",-74.0776417,40.7281575
"152",-110.926479,32.2217429
"153",-111.8314724,33.4151843
"154",-112.0740373,33.4483771
"155",-112.0740373,33.4483771
"156",-112.0740373,33.4483771
"157",-80.0728201,26.4614625
"158",-86.80249,33.5206608
"159",-112.0740373,33.4483771
"160",-118.451357,34.1489719
"161",-112.0740373,33.4483771
"162",-86.80249,33.5206608
"163",-74.0059728,40.7127753
"164",-82.9987942,39.9611755
"165",-112.0740373,33.4483771
"166",-115.1398296,36.1699412
"167",-112.0740373,33.4483771
"168",-112.0740373,33.4483771
"169",-74.0059728,40.7127753
"170",-83.1446485,42.4894801
"171",-77.6109219,43.16103
"172",-86.7816016,36.1626638
"173",-117.867653,33.7454725
"174",-72.9278835,41.308274
"175",-72.9278835,41.308274
"176",-86.80249,33.5206608
"177",-76.6121893,39.2903848
"178",-86.80249,33.5206608
"179",-117.1610838,32.715738
"180",-122.1430195,37.4418834
"181",-119.7725868,36.7468422
"182",-112.0740373,33.4483771
"183",-118.1937395,33.7700504
"184",-77.0368707,38.9071923
"185",-118.4455164,34.0635016
"186",-72.9278835,41.308274
"187",-76.6121893,39.2903848
"188",-94.6274636,39.114053
"189",-118.1937395,33.7700504
"190",-112.2373779,33.5805955
"191",-74.0059728,40.7127753
"192",-112.0740373,33.4483771
"193",-112.0740373,33.4483771
"194",-112.0740373,33.4483771
"195",-76.6121893,39.2903848
"196",-112.0740373,33.4483771
"197",-72.9278835,41.308274
"198",-80.2706044,26.271192
"199",-112.0740373,33.4483771
"200",-72.9278835,41.308274
"201",-80.0533746,26.7153424
"202",-112.0740373,33.4483771
"203",-74.0059728,40.7127753
"204",-112.0740373,33.4483771
"205",-86.80249,33.5206608
"206",-112.0740373,33.4483771
"207",-119.7725868,36.7468422
"208",-80.0728201,26.4614625
"209",-118.2436849,34.0522342
"210",-86.80249,33.5206608
"211",-112.0740373,33.4483771
"212",-112.2718239,33.5975393
"213",-112.0740373,33.4483771
"214",-74.0059728,40.7127753
"215",-112.0740373,33.4483771
"216",-117.9188221,33.6412156
"217",-122.4194155,37.7749295
"218",-87.5772293,33.229007
"219",-72.9278835,41.308274
"220",-80.1917902,25.7616798
"221",-118.255075,34.1425078
"222",-112.0740373,33.4483771
"223",-86.80249,33.5206608
"224",-86.80249,33.5206608
"225",-80.0728201,26.4614625
"226",-92.2895948,34.7464809
"227",-112.0740373,33.4483771
"228",-86.80249,33.5206608
"229",-72.9278835,41.308274
"230",-72.9278835,41.308274
"231",-112.0740373,33.4483771
"232",-86.80249,33.5206608
"233",-118.255075,34.1425078
"234",-77.0947092,38.984652
"235",-86.80249,33.5206608
"236",-72.9278835,41.308274
"237",-112.0740373,33.4483771
"238",-80.0728201,26.4614625
"239",-112.0740373,33.4483771
"240",-112.2373779,33.5805955
"241",-118.255075,34.1425078
"242",-82.5306527,27.3364347
"243",-111.8314724,33.4151843
"244",-86.80249,33.5206608
"245",-80.0728201,26.4614625
